Site,Region,Island,Population Size
Army Bay,Auckland,North,54879
Ashburton,Canterbury,South,18391
Blenheim,Marlborough,South,31051
Christchurch,Canterbury,South,356824
Dunedin Green Island,Otago,South,36780
Dunedin Tahuna,Otago,South,76278
Gisborne,Gisborne,North,32183
Greymouth,West Coast,South,7361
Hamilton,Waikato,North,159502
Hastings,Hawke's Bay,North,60268
Huntly,Waikato,North,7490
Invercargill,Southland,South,47106
Kaitaia,Northland,North,6059
Kawerau,Bay of Plenty,North,7097
Levin,Manawat?-Whanganui,North,16970
Mangere Eastern Interceptor,Auckland,North,625023
Mangere Southwestern Interceptor,Auckland,North,137068
Mangere Western Interceptor,Auckland,North,344161
Masterton,Wellington,North,19815
Moa Point,Wellington,North,160401
Napier,Hawke's Bay,North,57736
Nelson Bell Island,Nelson & Tasman,South,45624
Nelson City,Nelson,South,23895
New Plymouth,Taranaki,North,64562
?p?tiki,Bay of Plenty,North,3638
Palmerston North,Manawat?-Whanganui,North,77777
Paraparaumu,Wellington,North,39991
Porirua,Wellington,North,82599
Queenstown Shotover,Otago,South,22164
Rangiora,Canterbury,South,17842
Rosedale,Auckland,North,238547
Rotorua,Bay of Plenty,North,61746
Seaview,Wellington,North,142294
Taup?,Waikato,North,22279
Tauranga Beach Te Maunga,Bay of Plenty,North,47940
Tauranga City Chapel Street,Bay of Plenty,North,86139
Thames,Waikato,North,6937
Timaru,Canterbury,South,27057
Tokoroa,Waikato,North,13231
Waipukurau,Hawke's Bay,North,4124
Wairoa,Hawke's Bay,North,4220
Warkworth,Auckland,North,4754
Western,Wellington,North,12995
Westport,West Coast,South,4569
Whakat?ne,Bay of Plenty,North,15265
Whanganui,Manawat?-Whanganui,North,38385
Whang?rei,Northland,North,51424
